"Personas mayores: Centros, plazas y personas usuarias de la C.A. de Euskadi por tipo de población, centros, plazas, personas usuarias, territorio histórico, titularidad y periodo"

"tipo de población","centros, plazas, personas usuarias","territorio histórico","titularidad","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Mixtas","-Plazas","C.A. de Euskadi","Privado",3065,3010,4016,3692,3536,3668,3751,4773,5914,7748,7951,8402,9997,10719,10821,11587,11920,11466,12474,11501,11691,11829,11976,12071,12261,12920,12953,13272,13282,13345
"Mixtas","-Plazas","Araba/Álava","Total",765,786,1113,868,922,960,965,1118,1265,1564,1623,1617,1546,1609,1689,1790,1889,1937,2076,2439,2555,2617,2685,2722,2891,3134,3095,3198,3231,3115
"Mixtas","-Plazas","Araba/Álava","Público",553,579,907,649,593,592,592,724,529,532,682,682,528,538,569,574,541,591,621,985,1046,1028,1030,1030,1029,1029,1022,1023,1021,913
"Mixtas","-Plazas","Araba/Álava","Privado",212,207,206,219,329,368,373,394,736,1032,941,935,1018,1071,1120,1216,1348,1346,1455,1454,1509,1589,1655,1692,1862,2105,2073,2175,2210,2202
"Mixtas","-Plazas","Bizkaia","Total",2625,2787,3960,3439,3664,3650,3689,4572,5422,6323,6483,6925,7964,8948,8968,9638,9816,10022,10170,10878,10845,10871,11100,11127,11099,11292,11303,11257,11261,11241
"Mixtas","-Plazas","Bizkaia","Público",703,878,1134,888,996,1005,991,941,1059,1053,1083,1071,1014,1466,1591,1927,1919,2177,1665,3098,3111,3121,3251,3251,3186,3204,3201,2960,2963,2961
"Mixtas","-Plazas","Bizkaia","Privado",1922,1909,2826,2551,2668,2645,2698,3631,4363,5270,5400,5854,6950,7482,7377,7711,7897,7845,8505,7780,7734,7750,7849,7876,7913,8088,8102,8297,8298,8280
"Mixtas","-Plazas","Gipuzkoa","Total",2621,2633,2620,2615,2601,2900,2921,2965,3057,3382,3584,3554,3873,3980,4072,4434,4620,4505,4713,4714,4716,4765,4757,4788,4804,5035,5112,5096,5106,5133
"Mixtas","-Plazas","Gipuzkoa","Público",1690,1739,1636,1693,2062,2245,2241,2217,2242,1936,1974,1941,1844,1814,1748,1774,1945,2230,2199,2447,2268,2275,2285,2285,2318,2308,2334,2296,2332,2270
"Mixtas","-Plazas","Gipuzkoa","Privado",931,894,984,922,539,655,680,748,815,1446,1610,1613,2029,2166,2324,2660,2675,2275,2514,2267,2448,2490,2472,2503,2486,2727,2778,2800,2774,2863
"Mixtas","-Personas usuarias","C.A. de Euskadi","Total",6227,6265,7325,6653,6759,7066,7139,8153,9150,10511,10893,11126,12068,12678,12822,13717,14024,14028,14252,15867,16183,16581,16931,17168,17329,17595,15998,16600,17102,17586
"Mixtas","-Personas usuarias","C.A. de Euskadi","Público",3012,3211,3477,3067,3470,3658,3585,3700,3693,3365,3531,3431,3163,3505,3457,3850,4085,4553,4091,6234,6201,6172,6258,6276,6237,6222,5496,5668,5721,5765
"Mixtas","-Personas usuarias","C.A. de Euskadi","Privado",3215,3054,3848,3586,3289,3408,3554,4453,5457,7146,7362,7695,8905,9173,9365,9867,9939,9475,10161,9633,9982,10409,10673,10892,11092,11373,10502,10932,11381,11821
"Mixtas","-Personas usuarias","Araba/Álava","Total",806,782,1068,785,820,825,829,1023,1066,1374,1430,1425,1394,1450,1524,1606,1627,1771,1844,2261,2417,2441,2598,2579,2669,2824,2519,2793,2778,2743
