"Victimizaciones (número de casos) por ámbito teritorial, violencia contra las mujeres y periodo"

"Astigarraga","Violencia ejercida por pareja / expareja",:,12,13,9,11,17,12,22
"Astigarraga","Violencia intrafamiliar",:,2,2,1,1,4,1,1
"Astigarraga","Violencia sexual en otros tipos de relación(*)",:,1,0,0,0,2,0,:
"Ataun","Total",1,2,4,1,2,0,4,2
"Ataun","Violencia ejercida por pareja / expareja",:,2,4,1,1,0,0,2
"Ataun","Violencia intrafamiliar",:,0,0,0,1,0,4,:
"Ataun","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Atxondo","Total",5,2,0,1,2,3,3,:
"Atxondo","Violencia ejercida por pareja / expareja",:,1,0,1,2,2,3,:
"Atxondo","Violencia intrafamiliar",:,1,0,0,0,1,0,:
"Atxondo","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Aulesti","Total",0,0,0,0,1,0,0,:
"Aulesti","Violencia ejercida por pareja / expareja",:,0,0,0,0,0,0,:
"Aulesti","Violencia intrafamiliar",:,0,0,0,1,0,0,:
"Aulesti","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Ayala/Aiara","Total",1,4,1,3,4,6,11,12
"Ayala/Aiara","Violencia ejercida por pareja / expareja",:,3,0,3,3,3,5,3
"Ayala/Aiara","Violencia intrafamiliar",:,0,0,0,0,1,3,9
"Ayala/Aiara","Violencia sexual en otros tipos de relación(*)",:,1,1,0,1,2,3,:
"Azkoitia","Total",16,5,20,11,22,13,21,33
"Azkoitia","Violencia ejercida por pareja / expareja",:,4,16,7,16,9,15,22
"Azkoitia","Violencia intrafamiliar",:,0,4,3,4,1,5,8
"Azkoitia","Violencia sexual en otros tipos de relación(*)",:,1,0,1,2,3,1,3
"Azpeitia","Total",22,18,18,17,10,18,19,24
"Azpeitia","Violencia ejercida por pareja / expareja",:,8,14,13,7,13,16,20
"Azpeitia","Violencia intrafamiliar",:,4,4,4,1,4,0,4
"Azpeitia","Violencia sexual en otros tipos de relación(*)",:,6,0,0,2,1,3,:
"Bakio","Total",7,5,9,13,10,10,9,3
"Bakio","Violencia ejercida por pareja / expareja",:,5,8,8,8,7,6,2
"Bakio","Violencia intrafamiliar",:,0,1,3,1,2,2,1
"Bakio","Violencia sexual en otros tipos de relación(*)",:,0,0,2,1,1,1,:
"Baliarrain","Total",0,0,0,0,:,0,0,:
"Baliarrain","Violencia ejercida por pareja / expareja",:,0,0,0,0,0,0,:
"Baliarrain","Violencia intrafamiliar",:,0,0,0,0,0,0,:
"Baliarrain","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Balmaseda","Total",23,17,21,23,18,25,38,26
"Balmaseda","Violencia ejercida por pareja / expareja",:,13,16,14,16,19,31,23
"Balmaseda","Violencia intrafamiliar",:,4,3,6,1,5,6,2
"Balmaseda","Violencia sexual en otros tipos de relación(*)",:,0,2,3,1,1,1,1
"Baños de Ebro/Mañueta","Total",0,0,2,1,2,0,1,1
"Baños de Ebro/Mañueta","Violencia ejercida por pareja / expareja",:,0,2,1,0,0,1,1
"Baños de Ebro/Mañueta","Violencia intrafamiliar",:,0,0,0,1,0,0,:
"Baños de Ebro/Mañueta","Violencia sexual en otros tipos de relación(*)",:,0,0,0,1,0,0,:
"Barakaldo","Total",248,301,286,335,334,394,391,328
"Barakaldo","Violencia ejercida por pareja / expareja",:,215,206,237,244,309,296,241
"Barakaldo","Violencia intrafamiliar",:,65,67,68,58,62,57,59
"Barakaldo","Violencia sexual en otros tipos de relación(*)",:,21,13,30,32,23,38,28
"Barrika","Total",5,1,3,6,6,2,3,4
"Barrika","Violencia ejercida por pareja / expareja",:,0,1,5,3,2,2,3
"Barrika","Violencia intrafamiliar",:,1,2,1,3,0,1,1
"Barrika","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Barrundia","Total",1,2,2,1,2,2,2,2
"Barrundia","Violencia ejercida por pareja / expareja",:,1,2,1,2,0,2,2
"Barrundia","Violencia intrafamiliar",:,1,0,0,0,2,0,:
"Barrundia","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Basauri","Total",72,106,108,77,88,121,142,126
"Basauri","Violencia ejercida por pareja / expareja",:,88,72,60,66,85,111,83
"Basauri","Violencia intrafamiliar",:,10,31,9,18,19,27,30
"Basauri","Violencia sexual en otros tipos de relación(*)",:,8,5,8,4,17,4,13
