Año;Habilidad informática;Edad;Sexo;Ámbito territorial;Magnitud;Valor
2021;"D - Instalar software o aplicaciones";"Total";"Mujer";"C.A. de Euskadi";"%";61,2
2020;"D - Instalar software o aplicaciones";"Total";"Mujer";"C.A. de Euskadi";"%";56,7
2025;"D - Instalar software o aplicaciones";"Total";"Mujer";"Araba/Álava";"%";43,5
2024;"D - Instalar software o aplicaciones";"Total";"Mujer";"Araba/Álava";"%";43,8
2020;"D - Instalar software o aplicaciones";"Total";"Mujer";"Araba/Álava";"%";55,8
2023;"D - Instalar software o aplicaciones";"Total";"Mujer";"Araba/Álava";"%";52,5
2022;"D - Instalar software o aplicaciones";"Total";"Mujer";"Araba/Álava";"%";50,2
2019;"D - Instalar software o aplicaciones";"Total";"Mujer";"Araba/Álava";"%";49,8
2021;"D - Instalar software o aplicaciones";"Total";"Mujer";"Araba/Álava";"%";62
2025;"D - Instalar software o aplicaciones";"Total";"Mujer";"Bizkaia";"%";42,9
2022;"D - Instalar software o aplicaciones";"Total";"Mujer";"Bizkaia";"%";52,2
2024;"D - Instalar software o aplicaciones";"Total";"Mujer";"Bizkaia";"%";45,8
2020;"D - Instalar software o aplicaciones";"Total";"Mujer";"Bizkaia";"%";56,8
